Product,Price,Quantity
Laptop,999.99,10
Smartphone,499.99,20
Tablet,299.99,15
Headphones,199.99,25
Smartwatch,149.99,30
Camera,599.99,5
Printer,199.99,8
Monitor,249.99,12
Keyboard,49.99,50
Mouse,29.99,60
External Hard Drive,89.99,20
USB Flash Drive,19.99,100
Router,79.99,15
Speaker,149.99,10
Webcam,89.99,25
Microphone,129.99,18
Gaming Console,399.99,7
VR Headset,299.99,5
Smart Home Hub,149.99,12
Fitness Tracker,99.99,20
E-reader,129.99,10
Drone,499.99,3
3D Printer,999.99,2
Smart Light Bulb,29.99,50
Smart Thermostat,199.99,8
Smart Lock,149.99,10
Smart Doorbell,99.99,15
Smart Security Camera,199.99,12
